"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","40,655,322","35,535","2,530,843,780","62.40","62.50","62.00","62.20","-","0.10","62.20","586","62.25","283","0.00",
="0051","元大中型100","45,776","218","4,105,303","90.20","90.20","89.50","89.80"," ","0.00","89.75","1","89.80","11","0.00",
="0052","富邦科技","28,232,053","18,567","1,008,648,870","35.89","35.92","35.59","35.68","-","0.13","35.67","108","35.69","883","0.00",
="0053","元大電子","11,263","129","1,509,588","134.80","134.80","133.50","133.50","-","0.60","132.75","14","133.80","1","0.00",
="0055","元大MSCI金融","158,659","328","4,761,806","29.64","30.07","29.64","30.05","+","0.29","30.04","1","30.05","48","0.00",
="0056","元大高股息","18,849,846","10,600","685,374,929","36.37","36.41","36.31","36.40","+","0.09","36.39","465","36.40","370","0.00",
="0057","富邦摩台","13,036","104","2,384,334","183.75","183.75","182.60","182.85","-","0.05","182.40","10","183.05","5","0.00",
="0061","元大寶滬深","85,513","109","1,908,758","22.39","22.39","22.24","22.30","-","0.09","22.30","65","22.35","9","0.00",
="006203","元大MSCI台灣","12,853","101","1,452,306","113.15","113.15","112.50","113.05","-","0.10","113.05","1","113.15","1","0.00",
="006204","永豐臺灣加權","2,938","87","413,192","140.70","140.70","140.50","140.50","-","0.75","140.45","1","141.05","1","0.00",
="006205","富邦上証","97,558","167","3,722,032","38.32","38.32","38.00","38.16","-","0.17","38.16","65","38.20","41","0.00",
="006206","元大上證50","59,794","92","2,130,468","35.68","35.70","35.50","35.61","-","0.08","35.59","1","35.61","1","0.00",
="006207","復華滬深","125,896","73","3,722,883","29.68","29.68","29.48","29.56","-","0.12","29.54","50","29.57","1","0.00",
="006208","富邦台50","2,149,291","5,280","306,133,628","142.55","142.95","141.95","142.35","-","0.10","142.35","26","142.40","12","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","8.62","5","8.71","6","0.00",
="00631L","元大台灣50正2","3,370,533","3,651","1,131,480,131","336.65","338.00","333.45","335.90","+","0.50","335.85","2","335.90","10","0.00",
="00632R","元大台灣50反1","17,690,777","3,031","303,148,661","17.11","17.20","17.08","17.15","-","0.01","17.14","338","17.15","2,384","0.00",
="00633L","富邦上証正2","8,379,509","922","404,280,573","48.30","48.64","47.77","48.23","-","0.33","48.23","59","48.32","111","0.00",
="00634R","富邦上証反1","143,000","16","469,800","3.29","3.29","3.27","3.28"," ","0.00","3.27","488","3.29","657","0.00",
="00635U","期元大S&P黃金","3,520,314","2,348","158,949,212","45.30","45.31","45.01","45.06","-","0.29","45.06","146","45.08","12","0.00",
="00636","國泰中國A50","2,860,124","252","75,272,819","26.50","26.50","26.24","26.29","-","0.23","26.29","70","26.30","1","0.00",
="00636K","國泰中國A50+U","400","3","3,366","8.42","8.42","8.41","8.41","-","0.03","8.34","2","8.46","2","0.00",
="00637L","元大滬深300正2","44,411,417","4,221","877,582,583","19.80","19.92","19.58","19.77","-","0.11","19.77","132","19.78","15","0.00",
="00638R","元大滬深300反1","198,000","39","1,385,260","6.97","7.02","6.97","6.97"," ","0.00","6.97","296","6.99","265","0.00",
="00639","富邦深100","772,975","237","11,392,697","14.72","14.80","14.62","14.76","-","0.04","14.76","69","14.77","107","0.00",
="00640L","富邦日本正2","482,225","284","36,797,245","75.45","77.00","75.45","76.85","+","2.25","76.85","2","76.90","154","0.00",
="00641R","富邦日本反1","3,050,626","219","14,140,844","4.66","4.66","4.62","4.63","-","0.05","4.62","607","4.63","31","0.00",
="00642U","期元大S&P石油","5,125,597","607","79,195,161","15.40","15.48","15.40","15.47","+","0.11","15.47","1,035","15.48","32","0.00",
="00643","群益深証中小","3,561,971","167","57,440,156","16.12","16.17","15.97","16.15","-","0.05","16.13","102","16.14","22","0.00",
="00643K","群益深証中小+R","2,000","2","7,290","3.64","3.65","3.64","3.65","X","0.00","3.64","3","3.69","2","0.00",
="00645","富邦日本","402,032","327","18,998,088","47.00","47.43","47.00","47.41","+","0.67","47.35","299","47.41","1","0.00",
="00646","元大S&P500","7,657,573","1,993","514,658,794","67.35","67.40","67.15","67.15","-","0.25","67.15","1,493","67.25","61","0.00",
="00647L","元大S&P500正2","42,476","181","4,966,994","116.90","117.10","116.90","116.95","+","0.05","116.85","63","117.00","2","0.00",
="00648R","元大S&P500反1","735,692","42","3,196,459","4.35","4.35","4.34","4.35"," ","0.00","4.35","30","4.36","536","0.00",
="00650L","復華香港正2","6,402,895","734","113,654,953","17.81","17.89","17.62","17.79","-","0.01","17.79","690","17.80","1","0.00",
="00651R","復華香港反1","197,000","15","1,047,830","5.30","5.32","5.28","5.30","+","0.01","5.28","514","5.30","320","0.00",
="00652","富邦印度","314,180","245","11,632,513","37.05","37.26","36.98","37.22","+","0.17","37.21","1","37.22","3","0.00",
="00653L","富邦印度正2","61,946","63","3,612,617","58.15","58.85","58.10","58.75","+","0.75","58.70","66","58.85","11","0.00",
="00654R","富邦印度反1","2,022","4","12,587","6.24","6.24","6.21","6.21","-","0.06","6.19","70","6.22","20","0.00",
="00655L","國泰中國A50正2","1,155,490","328","38,814,571","33.58","33.88","33.28","33.70","-","0.14","33.65","176","33.70","173","0.00",
="00656R","國泰中國A50反1","193,000","9","1,190,900","6.17","6.19","6.15","6.16","-","0.01","6.16","468","6.17","186","0.00",
="00657","國泰日經225","13,020","82","773,367","59.05","59.70","59.05","59.70","+","0.80","59.70","209","59.80","1","0.00",
="00657K","國泰日經225+U","200","2","3,816","19.08","19.08","19.08","19.08","+","0.29","19.00","4","19.18","1","0.00",
="00660","元大歐洲50","331,517","120","13,709,396","41.17","41.50","41.17","41.50","+","0.33","41.48","20","41.50","4","0.00",
="00661","元大日經225","395,332","177","25,672,463","64.55","65.40","64.55","65.40","+","0.95","65.40","1","65.45","1","0.00",
="00662","富邦NASDAQ","2,208,272","2,263","227,606,885","103.10","103.20","103.00","103.05","-","0.25","103.00","45","103.05","2","0.00",
