"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","79,097,206","46,674","3,821,783,656","48.30","48.45","48.17","48.24","+","0.06","48.23","53","48.24","9","0.00",
="0051","元大中型100","83,589","271","6,238,665","74.30","74.95","74.30","74.45","+","0.20","74.20","56","74.65","1","0.00",
="0052","富邦科技","968,266","1,040","181,801,250","187.45","188.35","187.00","187.55","+","0.45","187.55","6","187.70","6","0.00",
="0053","元大電子","19,300","137","1,979,171","102.90","103.15","102.35","103.00","+","0.30","102.25","58","102.45","1","0.00",
="0055","元大MSCI金融","150,025","378","4,351,515","28.88","29.11","28.88","28.91","+","0.05","28.89","2","28.94","2","0.00",
="0056","元大高股息","115,693,547","22,299","4,015,432,072","34.63","34.86","34.62","34.65","+","0.04","34.64","63","34.65","382","0.00",
="0057","富邦摩台","20,208","121","2,882,638","142.35","142.95","142.35","142.60","+","0.40","142.50","20","142.85","20","0.00",
="0061","元大寶滬深","182,097","207","3,256,070","17.88","17.94","17.80","17.81","-","0.01","17.81","55","17.84","1","0.00",
="006203","元大MSCI台灣","6,502","93","577,578","88.60","89.30","88.60","89.30","+","0.70","88.85","3","89.35","1","0.00",
="006204","永豐臺灣加權","11,982","93","1,365,285","113.95","114.00","113.95","114.00","+","0.45","113.55","50","113.65","1","0.00",
="006205","富邦上証","1,004,262","267","30,933,840","30.93","30.93","30.72","30.77","+","0.02","30.77","8","30.80","165","0.00",
="006206","元大上證50","58,348","176","1,739,328","29.82","29.91","29.71","29.76","-","0.06","29.70","5","29.79","1","0.00",
="006207","復華滬深","729,105","165","16,959,485","23.34","23.44","23.22","23.24","-","0.09","23.24","2","23.29","100","0.00",
="006208","富邦台50","15,382,320","12,352","1,742,707,797","113.05","113.60","112.80","112.90","-","0.05","112.90","78","112.95","16","0.00",
