"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","12,228,053","18,859","2,210,092,453","179.30","181.30","179.15","181.30","+","4.15","181.30","234","181.35","55","0.00",
="0051","元大中型100","66,240","238","4,830,581","72.00","73.25","72.00","72.95","+","0.95","72.60","2","73.00","2","0.00",
="0052","富邦科技","540,380","1,029","94,402,368","172.70","175.80","172.70","175.80","+","5.45","175.80","3","176.00","2","0.00",
="0053","元大電子","5,242","208","501,101","95.80","95.80","95.65","95.75","+","1.55","95.70","2","95.85","1","0.00",
="0055","元大MSCI金融","749,934","411","21,204,763","28.00","28.54","27.88","28.34","+","0.39","28.33","1","28.34","6","0.00",
="0056","元大高股息","21,418,117","13,391","731,144,397","34.00","34.20","34.00","34.09","+","0.30","34.08","176","34.09","159","0.00",
="0057","富邦摩台","16,846","223","2,257,692","133.90","134.45","133.90","134.45","+","2.90","134.45","20","134.85","20","0.00",
="0061","元大寶滬深","208,179","196","3,702,669","17.65","17.85","17.65","17.78","+","0.22","17.77","1","17.78","5","0.00",
="006203","元大MSCI台灣","2,972","223","248,005","83.65","84.15","83.65","84.15","+","1.85","79.05","1","83.95","1","0.00",
="006204","永豐臺灣加權","26,117","157","2,826,116","108.10","108.90","108.10","108.90","+","2.45","108.90","1","109.15","20","0.00",
="006205","富邦上証","76,324","256","2,342,971","30.63","30.75","30.60","30.75","+","0.16","30.74","2","30.75","82","0.00",
="006206","元大上證50","41,662","164","1,235,845","29.40","29.82","29.40","29.71","+","0.13","29.51","85","29.61","1","0.00",
="006207","復華滬深","82,903","141","1,927,770","23.16","23.27","23.05","23.27","+","0.12","23.24","50","23.29","50","0.00",
="006208","富邦台50","6,146,716","9,322","653,050,119","105.45","106.60","105.30","106.55","+","2.65","106.55","26","106.60","89","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","7.37","5","7.45","4","0.00",
="00631L","元大台灣50正2","10,846,766","6,437","2,105,720,778","191.50","195.80","191.05","195.70","+","9.55","195.65","11","195.70","86","0.00",
="00632R","元大台灣50反1","98,269,732","17,392","2,274,364,784","23.31","23.33","23.04","23.05","-","0.64","23.05","326","23.06","1,156","0.00",
="00633L","富邦上証正2","2,166,822","374","80,182,778","36.91","37.29","36.89","36.97","+","0.10","36.97","109","36.98","3","0.00",
="00634R","富邦上証反1","54,050","10","205,129","3.80","3.81","3.79","3.81","+","0.02","3.80","6","3.81","550","0.00",
="00635U","期元大S&P黃金","2,200,986","1,150","81,387,461","36.80","37.11","36.80","36.89","-","0.07","36.88","30","36.90","232","0.00",
="00636","國泰中國A50","289,346","383","6,237,746","21.46","21.62","21.46","21.55","+","0.09","21.53","51","21.55","97","0.00",
="00636K","國泰中國A50+U","200","2","1,450","7.25","7.25","7.25","7.25","+","0.01","7.10","2","7.29","2","0.00",
="00637L","元大滬深300正2","32,566,054","2,525","481,581,515","14.77","14.88","14.72","14.75","+","0.06","14.75","330","14.76","1","0.00",
