"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","70,590,054","76,500","3,980,499,506","56.60","56.60","56.25","56.35","-","0.40","56.30","1,075","56.35","953","0.00",
="0051","元大中型100","38,759","264","3,304,999","85.15","85.55","85.00","85.00","-","0.15","85.00","1","85.05","1","0.00",
="0052","富邦科技","305,960","1,232","68,175,550","223.80","223.80","222.40","222.60","-","1.65","222.60","9","222.65","3","0.00",
="0053","元大電子","7,057","96","870,264","123.55","123.55","123.10","123.10","-","1.15","122.05","15","122.95","1","0.00",
="0055","元大MSCI金融","91,254","303","2,789,933","30.69","30.69","30.48","30.50","-","0.19","30.50","5","30.51","1","0.00",
="0056","元大高股息","27,991,079","18,301","1,015,560,232","36.29","36.42","36.17","36.18","-","0.13","36.17","344","36.18","86","0.00",
="0057","富邦摩台","13,064","118","2,172,818","166.65","166.65","166.45","166.45","-","1.05","165.70","10","166.45","10","0.00",
="0061","元大寶滬深","304,527","240","6,506,821","21.28","21.44","21.22","21.43","+","0.15","21.42","5","21.43","40","0.00",
="006203","元大MSCI台灣","2,140","112","220,684","103.50","103.50","103.50","103.50","-","0.20","102.30","24","103.00","1","0.00",
="006204","永豐臺灣加權","4,266","94","554,855","130.15","130.15","130.15","130.15","-","0.60","129.70","1","130.10","1","0.00",
="006205","富邦上証","912,441","565","33,298,463","36.45","36.60","36.29","36.49"," ","0.00","36.49","66","36.54","1","0.00",
="006206","元大上證50","150,718","140","5,075,490","33.89","33.89","33.52","33.76","-","0.13","33.75","2","33.77","7","0.00",
="006207","復華滬深","19,887","76","559,568","28.05","28.22","28.01","28.22","+","0.17","28.14","106","28.22","100","0.00",
="006208","富邦台50","6,403,785","9,011","843,305,384","132.20","132.20","131.45","131.50","-","1.00","131.50","20","131.55","6","0.00",
="00625K","富邦上証+R","1,000","1","8,700","8.70","8.70","8.70","8.70","X","0.00","8.66","5","8.75","1","0.00",
="00631L","元大台灣50正2","2,419,777","4,129","692,190,249","287.70","288.00","284.60","285.10","-","3.75","285.10","105","285.20","8","0.00",
="00632R","元大台灣50反1","22,263,714","3,717","419,001,726","18.79","18.86","18.75","18.85","+","0.12","18.84","169","18.85","3,020","0.00",
="00633L","富邦上証正2","8,166,580","1,082","393,415,867","48.00","48.66","47.56","48.39","+","0.40","48.38","2","48.39","4","0.00",
="00634R","富邦上証反1","402,003","19","1,315,229","3.27","3.28","3.26","3.26","-","0.01","3.26","6","3.27","565","0.00",
="00635U","期元大S&P黃金","4,871,738","2,000","194,697,032","40.02","40.07","39.88","39.93","-","0.05","39.92","16","39.93","11","0.00",
="00636","國泰中國A50","1,800,832","374","45,045,390","25.06","25.20","24.91","25.17","+","0.11","25.12","110","25.17","212","0.00",
="00636K","國泰中國A50+U","200","2","1,684","8.42","8.42","8.42","8.42","+","0.06","8.35","2","8.44","2","0.00",
="00637L","元大滬深300正2","64,478,713","7,291","1,248,663,480","19.33","19.59","19.14","19.49","+","0.15","19.48","34","19.49","1,327","0.00",
="00638R","元大滬深300反1","354,150","54","2,424,765","6.86","6.88","6.81","6.83","-","0.05","6.83","211","6.85","269","0.00",
="00639","富邦深100","1,770,301","629","24,954,018","14.02","14.20","13.98","14.12","+","0.18","14.12","1","14.13","20","0.00",
="00640L","富邦日本正2","1,307,607","199","86,319,051","65.85","66.20","65.75","65.80","-","1.20","65.80","87","65.90","93","0.00",
="00641R","富邦日本反1","3,150,363","73","15,834,311","5.03","5.04","5.02","5.04","+","0.04","5.03","164","5.04","459","0.00",
="00642U","期元大S&P石油","7,125,482","1,256","117,245,861","16.47","16.47","16.43","16.43","+","0.22","16.43","2,718","16.44","71","0.00",
="00643","群益深証中小","3,196,530","540","49,873,393","15.50","15.65","15.42","15.62","+","0.16","15.61","40","15.62","41","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.67","3","3.74","1","0.00",
="00645","富邦日本","590,124","468","25,845,626","43.89","43.89","43.71","43.71","-","0.43","43.70","4","43.71","1","0.00",
="00646","元大S&P500","6,762,624","2,256","420,880,612","62.35","62.45","62.15","62.15","-","0.40","62.15","841","62.20","61","0.00",
="00647L","元大S&P500正2","194,932","161","21,002,846","108.05","108.05","107.60","107.65","-","1.00","107.65","50","107.70","3","0.00",
="00648R","元大S&P500反1","671,697","53","2,991,557","4.46","4.46","4.45","4.45","+","0.01","4.45","3,956","4.46","1,102","0.00",
="00650L","復華香港正2","10,207,684","1,427","191,461,585","18.63","18.98","18.53","18.98","+","0.58","18.97","46","18.98","1,503","0.00",
="00651R","復華香港反1","1,660,199","161","8,549,026","5.19","5.19","5.12","5.14","-","0.07","5.13","64","5.14","410","0.00",
="00652","富邦印度","562,639","366","20,182,585","35.85","35.95","35.82","35.88","+","0.03","35.87","10","35.88","1","0.00",
="00653L","富邦印度正2","375,457","181","21,241,652","56.30","56.70","56.30","56.70","+","0.60","56.65","72","56.70","23","0.00",
="00654R","富邦印度反1","45,006","12","281,817","6.30","6.30","6.25","6.25","-","0.05","6.25","159","6.27","54","0.00",
="00655L","國泰中國A50正2","2,627,198","551","87,766,345","33.31","33.76","32.98","33.62","+","0.31","33.61","11","33.62","240","0.00",
="00656R","國泰中國A50反1","123,145","25","745,017","6.07","6.09","6.03","6.04","-","0.04","6.04","870","6.06","761","0.00",
="00657","國泰日經225","18,221","87","960,305","52.80","52.85","52.50","52.50","-","0.25","52.50","231","52.65","256","0.00",
="00657K","國泰日經225+U","200","2","3,538","17.69","17.69","17.69","17.69","+","0.09","17.47","4","17.63","1","0.00",
="00660","元大歐洲50","20,340","108","793,207","39.08","39.08","38.95","39.00","-","0.31","39.00","2","39.04","1","0.00",
="00661","元大日經225","61,061","139","3,514,575","57.50","57.75","57.30","57.30","-","0.45","57.30","285","57.35","1","0.00",
="00662","富邦NASDAQ","8,705,251","3,069","814,816,982","93.90","94.00","93.45","93.60","-","0.70","93.60","140","93.65","97","0.00",
="00663L","國泰臺灣加權正2","5,224,333","2,949","195,246,500","37.53","37.64","37.21","37.29","-","0.45","37.29","65","37.30","1","0.00",
="00664R","國泰臺灣加權反1","7,656,066","441","23,314,035","3.04","3.06","3.03","3.05","+","0.02","3.04","2,478","3.05","84","0.00",
="00665L","富邦恒生國企正2","44,686,482","4,583","543,778,933","12.05","12.36","11.98","12.36","+","0.51","12.35","37","12.36","1,403","0.00",
="00666R","富邦恒生國企反1","574,800","110","4,808,715","8.45","8.45","8.32","8.34","-","0.15","8.33","27","8.34","169","0.00",
="00668","國泰美國道瓊","123,940","72","6,208,751","50.30","50.30","50.00","50.10","-","0.25","50.10","265","50.15","1","0.00",
="00668K","國泰美國道瓊+U","200","2","3,342","16.71","16.71","16.71","16.71","-","0.04","16.66","1","16.83","1","0.00",
="00669R","國泰美國道瓊反1","1,001,934","81","5,886,215","5.88","5.88","5.86","5.87","+","0.02","5.87","3,777","5.89","1,529","0.00",
="00670L","富邦NASDAQ正2","971,799","1,195","148,993,880","153.70","153.70","153.10","153.10","-","1.05","153.05","178","153.10","19","0.00",
="00671R","富邦NASDAQ反1","11,171,207","424","33,311,428","2.99","2.99","2.97","2.98"," ","0.00","2.97","25,759","2.98","612","0.00",
="00673R","期元大S&P原油反1","18,904,461","1,376","123,719,842","6.54","6.56","6.53","6.56","-","0.09","6.55","1,058","6.56","4,472","0.00",
="00674R","期元大S&P黃金反1","805,019","145","5,564,126","6.90","6.92","6.89","6.91","-","0.01","6.91","2,254","6.92","100","0.00",
="00675L","富邦臺灣加權正2","2,028,397","2,069","230,874,194","114.30","114.60","113.20","113.60","-","1.35","113.55","3","113.60","154","0.00",
="00676R","富邦臺灣加權反1","1,707,307","201","17,638,036","10.32","10.36","10.31","10.35","+","0.06","10.34","505","10.35","11","0.00",
="00678","群益那斯達克生技","241,804","96","6,712,466","27.80","27.80","27.73","27.79","-","0.08","27.75","1","27.79","68","0.00",
="00680L","元大美債20正2","33,166,834","2,028","252,102,433","7.61","7.62","7.58","7.62","+","0.01","7.62","119","7.63","8,413","0.00",
="00681R","元大美債20反1","273,106","20","5,500,306","20.18","20.18","20.13","20.14","-","0.05","20.13","1","20.15","254","0.00",
="00682U","期元大美元指數","10,189","6","201,225","19.72","19.80","19.72","19.80","-","0.05","19.78","1","19.79","20","0.00",
="00683L","期元大美元指正2","222,835","59","4,444,096","19.93","19.96","19.92","19.95","-","0.16","19.94","1","19.96","20","0.00",
="00684R","期元大美元指反1","318,278","28","5,075,079","15.92","15.98","15.92","15.98","+","0.09","15.97","4","15.98","64","0.00",
="00685L","群益臺灣加權正2","468,413","433","47,858,554","102.70","102.90","101.75","102.10","-","1.25","102.00","4","102.10","147","0.00",
="00686R","群益臺灣加權反1","263,103","69","487,828","1.86","1.86","1.85","1.86","+","0.01","1.85","1,117","1.86","1,678","0.00",
="00688L","國泰20年美債正2","13,875,485","854","105,010,901","7.58","7.60","7.55","7.60","+","0.03","7.59","190","7.60","5,418","0.00",
